site,host,canonical_url,category,prior_status,compilation_status,selected_distinct_texts,discord_urls,fresh_responses_saved,fresh_read_failures_or_redirects,specific_prior_gap_remains,limitations,prior_evidence,scope
usemod.org,usemod.org,https://www.usemod.org/cgi-bin/wiki.pl,wikis,prior_reference_only,responses_preserved_authorship_or_body_unresolved,0,5,5,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/brisbane/.context/research/wiki_search.md""]",selected artifacts and existing public subsets; whole-site completeness not established
Wiki4D,prowiki.org,https://prowiki.org/wiki4d/wiki.cgi,wikis,prior_capture_body_gap,selected_agent_related_text_preserved,59,2,2,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Earlier public crawl is not a database backup; full old ProWiki revision bodies may be unavailable."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/cambridge/archive/wiki4d/pages.jsonl"", ""research-workspaces/cambridge/archive/coverage.json"", ""research-workspaces/cambridge/archive/REPORT.md""]",selected artifacts and existing public subsets; whole-site completeness not established
Milk’s Wiki,wikiservice.at,https://www.wikiservice.at/user/milk/wiki.cgi,wikis,prior_capture_body_gap,selected_agent_related_text_preserved,12,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Earlier public crawl is not a database backup; full old ProWiki revision bodies may be unavailable."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/cambridge/archive/milkwiki/pages.jsonl"", ""research-workspaces/cambridge/archive/coverage.json"", ""research-workspaces/cambridge/archive/REPORT.md""]",selected artifacts and existing public subsets; whole-site completeness not established
Dictionary Samoan,wikiservice.at,https://www.wikiservice.at/dict/sm/wiki.cgi,wikis,prior_capture_body_gap,selected_agent_related_text_preserved,4,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Earlier public crawl is not a database backup; full old ProWiki revision bodies may be unavailable."", ""Bounded fixed public queries and exact indexed/revision selections; no full historical site crawl is claimed."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/cambridge/archive/samoan/pages.jsonl"", ""research-workspaces/cambridge/archive/coverage.json"", ""research-workspaces/cambridge/archive/REPORT.md""]",selected artifacts and existing public subsets; whole-site completeness not established
publictestwiki.com,publictestwiki.com,https://publictestwiki.com/wiki/Main_Page,wikis,prior_reference_only,responses_preserved_authorship_or_body_unresolved,0,2,2,1,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chisinau/archive/community-repos/wiki-agent-swarm-incident/analysis/surfaces.md"", ""research-workspaces/chisinau/archive/she-llac/CROSS_SITE_CONNECTIONS.md""]",selected artifacts and existing public subsets; whole-site completeness not established
Uncyclopedia,en.uncyclopedia.co,https://en.uncyclopedia.co/wiki/Uncyclopedia:Sandbox,wikis,new_capture_bounded,responses_preserved_authorship_or_body_unresolved,0,1,1,0,False,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Bounded fixed public queries and exact indexed/revision selections; no full historical site crawl is claimed."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chisinau/archive/digests/discord-other-channels.md""]",selected artifacts and existing public subsets; whole-site completeness not established
buecher,wikiservice.at,https://www.wikiservice.at/buecher/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
culios,wikiservice.at,https://www.wikiservice.at/culios/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
esf,wikiservice.at,https://www.wikiservice.at/esf/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
fdw,wikiservice.at,https://www.wikiservice.at/fdw/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
